"variable" "activity_name" "subject_id" "value"
"tBodyAcc-mean()-X" "LAYING" 1 0.22159824394
"tBodyAcc-mean()-Y" "LAYING" 1 -0.0405139534294
"tBodyAcc-mean()-Z" "LAYING" 1 -0.11320355358
"tBodyAcc-std()-X" "LAYING" 1 -0.9280564692
"tBodyAcc-std()-Y" "LAYING" 1 -0.83682740562
"tBodyAcc-std()-Z" "LAYING" 1 -0.826061401628
"tGravityAcc-mean()-X" "LAYING" 1 -0.24888179828
"tGravityAcc-mean()-Y" "LAYING" 1 0.70554977346
"tGravityAcc-mean()-Z" "LAYING" 1 0.4458177198
"tGravityAcc-std()-X" "LAYING" 1 -0.8968300184
"tGravityAcc-std()-Y" "LAYING" 1 -0.90772000676
"tGravityAcc-std()-Z" "LAYING" 1 -0.85236629022
"tBodyAccJerk-mean()-X" "LAYING" 1 0.0810865342
"tBodyAccJerk-mean()-Y" "LAYING" 1 0.0038382040088
"tBodyAccJerk-mean()-Z" "LAYING" 1 0.010834236361
"tBodyAccJerk-std()-X" "LAYING" 1 -0.958482112
"tBodyAccJerk-std()-Y" "LAYING" 1 -0.9241492736
"tBodyAccJerk-std()-Z" "LAYING" 1 -0.9548551108
"tBodyGyro-mean()-X" "LAYING" 1 -0.016553093978
"tBodyGyro-mean()-Y" "LAYING" 1 -0.064486124088
"tBodyGyro-mean()-Z" "LAYING" 1 0.14868943626
"tBodyGyro-std()-X" "LAYING" 1 -0.87354386782
"tBodyGyro-std()-Y" "LAYING" 1 -0.9510904402
"tBodyGyro-std()-Z" "LAYING" 1 -0.9082846626
"tBodyGyroJerk-mean()-X" "LAYING" 1 -0.107270949192
"tBodyGyroJerk-mean()-Y" "LAYING" 1 -0.04151728689
"tBodyGyroJerk-mean()-Z" "LAYING" 1 -0.0740501211
"tBodyGyroJerk-std()-X" "LAYING" 1 -0.9186085208
"tBodyGyroJerk-std()-Y" "LAYING" 1 -0.9679072436
"tBodyGyroJerk-std()-Z" "LAYING" 1 -0.9577901596
"tBodyAccMag-mean()" "LAYING" 1 -0.8419291525
"tBodyAccMag-std()" "LAYING" 1 -0.79514486386
"tGravityAccMag-mean()" "LAYING" 1 -0.8419291525
"tGravityAccMag-std()" "LAYING" 1 -0.79514486386
"tBodyAccJerkMag-mean()" "LAYING" 1 -0.9543962646
"tBodyAccJerkMag-std()" "LAYING" 1 -0.9282456284
"tBodyGyroMag-mean()" "LAYING" 1 -0.874759548
"tBodyGyroMag-std()" "LAYING" 1 -0.81901016976
"tBodyGyroJerkMag-mean()" "LAYING" 1 -0.96346103
"tBodyGyroJerkMag-std()" "LAYING" 1 -0.9358409828
"fBodyAcc-mean()-X" "LAYING" 1 -0.9390990524
"fBodyAcc-mean()-Y" "LAYING" 1 -0.86706520518
"fBodyAcc-mean()-Z" "LAYING" 1 -0.8826668762
"fBodyAcc-std()-X" "LAYING" 1 -0.9244374346
"fBodyAcc-std()-Y" "LAYING" 1 -0.8336255561
"fBodyAcc-std()-Z" "LAYING" 1 -0.81289155944
"fBodyAcc-meanFreq()-X" "LAYING" 1 -0.158792670508
"fBodyAcc-meanFreq()-Y" "LAYING" 1 0.097534841586
"fBodyAcc-meanFreq()-Z" "LAYING" 1 0.08943765522
"fBodyAccJerk-mean()-X" "LAYING" 1 -0.9570738838
"fBodyAccJerk-mean()-Y" "LAYING" 1 -0.9224626098
"fBodyAccJerk-mean()-Z" "LAYING" 1 -0.9480609042
"fBodyAccJerk-std()-X" "LAYING" 1 -0.9641607086
"fBodyAccJerk-std()-Y" "LAYING" 1 -0.9322178704
"fBodyAccJerk-std()-Z" "LAYING" 1 -0.9605869872
"fBodyAccJerk-meanFreq()-X" "LAYING" 1 0.132419092398
"fBodyAccJerk-meanFreq()-Y" "LAYING" 1 0.024513618956
"fBodyAccJerk-meanFreq()-Z" "LAYING" 1 0.02438794528
"fBodyGyro-mean()-X" "LAYING" 1 -0.850249174586
"fBodyGyro-mean()-Y" "LAYING" 1 -0.9521914948
"fBodyGyro-mean()-Z" "LAYING" 1 -0.909302721
"fBodyGyro-std()-X" "LAYING" 1 -0.8822964508
"fBodyGyro-std()-Y" "LAYING" 1 -0.9512320494
"fBodyGyro-std()-Z" "LAYING" 1 -0.9165825082
"fBodyGyro-meanFreq()-X" "LAYING" 1 -0.003546795856
"fBodyGyro-meanFreq()-Y" "LAYING" 1 -0.091529130882
"fBodyGyro-meanFreq()-Z" "LAYING" 1 0.01045812566
"fBodyAccMag-mean()" "LAYING" 1 -0.8617676481
"fBodyAccMag-std()" "LAYING" 1 -0.7983009404
"fBodyAccMag-meanFreq()" "LAYING" 1 0.08640856294
"fBodyBodyAccJerkMag-mean()" "LAYING" 1 -0.9333003608
"fBodyBodyAccJerkMag-std()" "LAYING" 1 -0.9218039756
"fBodyBodyAccJerkMag-meanFreq()" "LAYING" 1 0.26639115416
"fBodyBodyGyroMag-mean()" "LAYING" 1 -0.8621901854
"fBodyBodyGyroMag-std()" "LAYING" 1 -0.82431943968
"fBodyBodyGyroMag-meanFreq()" "LAYING" 1 -0.1397750127
"fBodyBodyGyroJerkMag-mean()" "LAYING" 1 -0.9423669466
"fBodyBodyGyroJerkMag-std()" "LAYING" 1 -0.9326606676
"fBodyBodyGyroJerkMag-meanFreq()" "LAYING" 1 0.17648590708
"tBodyAcc-mean()-X" "SITTING" 1 0.261237565425532
"tBodyAcc-mean()-Y" "SITTING" 1 -0.00130828765170213
"tBodyAcc-mean()-Z" "SITTING" 1 -0.104544182255319
"tBodyAcc-std()-X" "SITTING" 1 -0.977229008297872
"tBodyAcc-std()-Y" "SITTING" 1 -0.922618641914894
"tBodyAcc-std()-Z" "SITTING" 1 -0.93958629106383
"tGravityAcc-mean()-X" "SITTING" 1 0.831509933404255
"tGravityAcc-mean()-Y" "SITTING" 1 0.204411592680851
"tGravityAcc-mean()-Z" "SITTING" 1 0.332043702765957
"tGravityAcc-std()-X" "SITTING" 1 -0.968457145744681
"tGravityAcc-std()-Y" "SITTING" 1 -0.935517055957447
"tGravityAcc-std()-Z" "SITTING" 1 -0.949040933191489
"tBodyAccJerk-mean()-X" "SITTING" 1 0.0774825199574468
"tBodyAccJerk-mean()-Y" "SITTING" 1 -0.000619102785106384
"tBodyAccJerk-mean()-Z" "SITTING" 1 -0.00336779235021277
"tBodyAccJerk-std()-X" "SITTING" 1 -0.986430711276596
"tBodyAccJerk-std()-Y" "SITTING" 1 -0.981371965319149
"tBodyAccJerk-std()-Z" "SITTING" 1 -0.987910804468085
"tBodyGyro-mean()-X" "SITTING" 1 -0.045350056512766
"tBodyGyro-mean()-Y" "SITTING" 1 -0.0919241549361702
"tBodyGyro-mean()-Z" "SITTING" 1 0.0629313811914894
"tBodyGyro-std()-X" "SITTING" 1 -0.977211283191489
"tBodyGyro-std()-Y" "SITTING" 1 -0.966473895319149
"tBodyGyro-std()-Z" "SITTING" 1 -0.941425920851064
"tBodyGyroJerk-mean()-X" "SITTING" 1 -0.0936793807234043
"tBodyGyroJerk-mean()-Y" "SITTING" 1 -0.0402118124255319
"tBodyGyroJerk-mean()-Z" "SITTING" 1 -0.046702627
"tBodyGyroJerk-std()-X" "SITTING" 1 -0.99173159212766
"tBodyGyroJerk-std()-Y" "SITTING" 1 -0.989518068510638
"tBodyGyroJerk-std()-Z" "SITTING" 1 -0.987935806382979
"tBodyAccMag-mean()" "SITTING" 1 -0.948536786170213
"tBodyAccMag-std()" "SITTING" 1 -0.927078418723404
"tGravityAccMag-mean()" "SITTING" 1 -0.948536786170213
"tGravityAccMag-std()" "SITTING" 1 -0.927078418723404
"tBodyAccJerkMag-mean()" "SITTING" 1 -0.987364195531915
"tBodyAccJerkMag-std()" "SITTING" 1 -0.984120024042553
"tBodyGyroMag-mean()" "SITTING" 1 -0.93089249
"tBodyGyroMag-std()" "SITTING" 1 -0.934531840425532
"tBodyGyroJerkMag-mean()" "SITTING" 1 -0.991976341276596
"tBodyGyroJerkMag-std()" "SITTING" 1 -0.988308728510638
"fBodyAcc-mean()-X" "SITTING" 1 -0.979641238723404
"fBodyAcc-mean()-Y" "SITTING" 1 -0.944084550425532
"fBodyAcc-mean()-Z" "SITTING" 1 -0.959184889148936
"fBodyAcc-std()-X" "SITTING" 1 -0.976412313191489
"fBodyAcc-std()-Y" "SITTING" 1 -0.917275006382979
"fBodyAcc-std()-Z" "SITTING" 1 -0.934469558085106
"fBodyAcc-meanFreq()-X" "SITTING" 1 -0.0495135975489362
"fBodyAcc-meanFreq()-Y" "SITTING" 1 0.0759460768510638
"fBodyAcc-meanFreq()-Z" "SITTING" 1 0.238829870148936
"fBodyAccJerk-mean()-X" "SITTING" 1 -0.986597022553191
"fBodyAccJerk-mean()-Y" "SITTING" 1 -0.981579467021277
"fBodyAccJerk-mean()-Z" "SITTING" 1 -0.986053092340425
"fBodyAccJerk-std()-X" "SITTING" 1 -0.987492994468085
"fBodyAccJerk-std()-Y" "SITTING" 1 -0.982513909574468
"fBodyAccJerk-std()-Z" "SITTING" 1 -0.988339184893617
"fBodyAccJerk-meanFreq()-X" "SITTING" 1 0.256610823568085
"fBodyAccJerk-meanFreq()-Y" "SITTING" 1 0.0475437839595745
"fBodyAccJerk-meanFreq()-Z" "SITTING" 1 0.0923920032553192
"fBodyGyro-mean()-X" "SITTING" 1 -0.976161464042553
"fBodyGyro-mean()-Y" "SITTING" 1 -0.975838585319149
"fBodyGyro-mean()-Z" "SITTING" 1 -0.951315544468085
"fBodyGyro-std()-X" "SITTING" 1 -0.977904227021277
"fBodyGyro-std()-Y" "SITTING" 1 -0.962345042553192
"fBodyGyro-std()-Z" "SITTING" 1 -0.94391784106383
"fBodyGyro-meanFreq()-X" "SITTING" 1 0.189153021260851
"fBodyGyro-meanFreq()-Y" "SITTING" 1 0.0631270669787234
"fBodyGyro-meanFreq()-Z" "SITTING" 1 -0.0297839207446809
"fBodyAccMag-mean()" "SITTING" 1 -0.947782922553192
"fBodyAccMag-std()" "SITTING" 1 -0.928444801702128
"fBodyAccMag-meanFreq()" "SITTING" 1 0.236655011680851
"fBodyBodyAccJerkMag-mean()" "SITTING" 1 -0.985262126808511
"fBodyBodyAccJerkMag-std()" "SITTING" 1 -0.981606177446808
"fBodyBodyAccJerkMag-meanFreq()" "SITTING" 1 0.351852201957447
"fBodyBodyGyroMag-mean()" "SITTING" 1 -0.958435589361702
"fBodyBodyGyroMag-std()" "SITTING" 1 -0.932198374893617
"fBodyBodyGyroMag-meanFreq()" "SITTING" 1 -0.000262186717021277
"fBodyBodyGyroJerkMag-mean()" "SITTING" 1 -0.989797547234043
"fBodyBodyGyroJerkMag-std()" "SITTING" 1 -0.987049617234043
"fBodyBodyGyroJerkMag-meanFreq()" "SITTING" 1 0.184775928085106
"tBodyAcc-mean()-X" "STANDING" 1 0.278917629056604
"tBodyAcc-mean()-Y" "STANDING" 1 -0.0161375901037736
"tBodyAcc-mean()-Z" "STANDING" 1 -0.110601817735849
"tBodyAcc-std()-X" "STANDING" 1 -0.995759901509434
"tBodyAcc-std()-Y" "STANDING" 1 -0.973190056415094
"tBodyAcc-std()-Z" "STANDING" 1 -0.979775876981132
"tGravityAcc-mean()-X" "STANDING" 1 0.942952000377358
"tGravityAcc-mean()-Y" "STANDING" 1 -0.272983832264151
"tGravityAcc-mean()-Z" "STANDING" 1 0.0134905823226415
"tGravityAcc-std()-X" "STANDING" 1 -0.99376298509434
"tGravityAcc-std()-Y" "STANDING" 1 -0.981225957924528
"tGravityAcc-std()-Z" "STANDING" 1 -0.976324063584906
"tBodyAccJerk-mean()-X" "STANDING" 1 0.0753766542264151
"tBodyAccJerk-mean()-Y" "STANDING" 1 0.00797573092830189
"tBodyAccJerk-mean()-Z" "STANDING" 1 -0.00368524954709434
"tBodyAccJerk-std()-X" "STANDING" 1 -0.994604542264151
